"Product sold","Nb of reviews","Total Votes","Helpful votes","Nb of 5 star reviews","% of 5 star review","5 star reviews paid","5 star reviews unpaid","5 star reviews paid on verified purchase"
"Zenith Men's 96.0529.4035/51.M Defy Xtreme Tourbillon Titanium Chronograph Watch",71,17057,15300,35,0,0,35,0
"Casio Men's G-Shock Classic Digital Watch",15,1658,1545,13,0,0,13,0
"Seiko Bedside Alarm Clock Silver-Tone Metallic Case",24,1213,1159,13,0,0,13,0
"Timex Unisex Weekender Analog Quartz Watch",23,1859,1694,13,0,0,13,0
"Timex Women's Indiglo Easy Reader Quartz Analog Leather Strap Watch with Date Feature",24,1055,1008,13,0,0,13,0
"Casio F91W Digital Sports Watch",14,2598,2290,12,0,0,12,0
"Montegrappa Chaos Gold and Enamel Automatic Watch",15,2469,2218,12,0,0,12,0
"Timex Porter Street Watch",14,594,570,12,0,0,12,0
"Citizen Men's BM8180-03E Eco-Drive Stainless Steel Watch with Green Canvas Band",22,2189,2025,11,0,0,11,0
"Seiko Men's SNK805 Seiko 5 Automatic Stainless Steel Watch with Green Canvas",12,778,699,10,0,0,10,0
"Casio Men's Black Analog Anti Reverse Bezel Watch",11,1225,1149,9,0,0,9,0
"Casio Men's Solar Sport Combination Watch",14,1095,1007,9,0,0,9,0
"Casio Sport Watch",14,1187,1035,9,0,0,9,0
"Invicta Men's 8928OB Pro Diver Gold Stainless Steel Two-Tone Automatic Watch",19,1858,1620,9,0,0,9,0
"Rolex Daytona Platinum Watch Ice Blue Ceramic 116506 Unworn 2016",10,1008,745,9,0,0,9,0
"Timex Men's Expedition Metal Field Watch",12,477,456,9,0,0,9,0
"Bling Jewelry Plated Classic Round CZ Ladies Watch",19,1983,1651,8,0,0,8,0
"Breguet Classique Complications Men's Rose Gold Tourbillon Messidor Swiss Made Mechanical Watch 5335BR/42/9W6",13,1523,1328,8,0,0,8,0
"Casio Men's GW-9400-1CR Master of G Stainless Steel Solar Watch",9,1207,1133,8,0,0,8,0
"Casio Women's LRW-200H-2BVCF Stainless Steel Watch Resin Band",14,1086,1003,8,0,0,8,0
"Citizen Eco-Drive Women's EW1544-53A Silhouette Two-Tone Stainless Steel Watch",8,348,337,8,100,0,8,0
"Men's 18K Gold Rolex Yachtmaster II Model # 116688",16,3734,2837,8,0,0,8,0
"Men's White Decorative Chron Dial Brown Pu Leather Strap Quartz Movement Wrist Watch",13,1125,931,8,0,0,8,0
"Rolex Cosmograph Daytona Ice Blue Dial Platinum Mens Watch 116506IBLSO",10,1915,1549,8,0,0,8,0
"SEIKO MECHANICAL × Shinobu Ishigaki SARB065 Men's---(Japan Import-No Warranty)",8,656,614,8,100,0,8,0
